region_id,total_population
LK,20359054
LK_1,5850745
LK_11,2323964
LK_1103,323223
LK_1103005,7829
LK_1103010,28003
LK_1103015,17757
LK_1103020,12970
LK_1103025,8809
LK_1103030,13625
LK_1103035,12423
LK_1103040,13802
LK_1103045,6385
LK_1103050,9409
LK_1103055,9339
LK_1103060,8110
LK_1103065,8516
LK_1103070,13436
LK_1103075,17588
LK_1103080,8904
LK_1103085,6821
LK_1103090,11524
LK_1103095,13683
LK_1103100,10053
LK_1103105,7517
LK_1103110,7746
LK_1103115,1924
LK_1103120,1473
LK_1103125,3789
LK_1103130,3795
LK_1103135,6883
LK_1103140,3915
LK_1103145,7221
LK_1103150,8467
LK_1103155,8968
LK_1103160,8526
LK_1103165,4591
LK_1103170,2583
LK_1103175,6839
LK_1106,191687
LK_1106005,7606
LK_1106010,6934
LK_1106015,2308
LK_1106020,5083
LK_1106025,2119
LK_1106030,5900
LK_1106035,8432
LK_1106040,4671
LK_1106045,5761
LK_1106050,7611
LK_1106055,3703
LK_1106060,4649
LK_1106065,4040
LK_1106070,2767
LK_1106075,4439
LK_1106080,3283
LK_1106085,3535
LK_1106090,3349
LK_1106095,4103
LK_1106100,2244
LK_1106105,3603
LK_1106110,2342
LK_1106115,5867
LK_1106120,4078
LK_1106125,10149
LK_1106130,3221
LK_1106135,4715
LK_1106140,2946
LK_1106145,4935
LK_1106150,5096
LK_1106155,2643
LK_1106160,2083
LK_1106165,6442
LK_1106170,2408
LK_1106175,3879
LK_1106180,3344
LK_1106185,4044
LK_1106190,1944
LK_1106195,2567
LK_1106200,2580
LK_1106205,5213
LK_1106210,3173
LK_1106215,2533
LK_1106220,3761
LK_1106225,2181
LK_1106230,3403
LK_1109,252041
LK_1109005,4997
LK_1109010,4030
LK_1109015,4165
LK_1109020,4342
LK_1109025,4224
LK_1109030,4261
LK_1109035,3863
LK_1109040,5530
LK_1109045,4878
LK_1109050,2099
LK_1109055,6091
LK_1109060,5495
LK_1109065,3131
LK_1109070,7680
LK_1109075,4405
LK_1109080,9178
LK_1109085,2871
LK_1109090,1913
LK_1109095,4842
LK_1109100,2105
LK_1109105,1876
LK_1109110,2623
LK_1109115,6922
LK_1109120,5133
LK_1109125,5958
LK_1109130,5141
LK_1109135,3777
LK_1109140,2793
LK_1109145,6734
LK_1109150,9250
LK_1109155,8518
LK_1109160,4287
LK_1109165,3087
LK_1109170,2568
LK_1109175,2465
LK_1109180,2001
LK_1109185,7582
LK_1109190,7422
LK_1109195,6238
LK_1109200,4501
LK_1109205,5799
LK_1109210,3027
LK_1109215,3149
LK_1109220,5113
LK_1109225,5512
LK_1109230,2607
LK_1109235,5076
LK_1109240,2208
LK_1109245,2354
LK_1109250,3057
LK_1109255,1580
LK_1109260,2014
LK_1109265,4442
LK_1109270,3136
LK_1109275,4725
LK_1109280,5548
LK_1109285,3718
LK_1112,237905
LK_1112005,7292
LK_1112010,1484
LK_1112015,1501
LK_1112020,1921
LK_1112025,1771
LK_1112030,1654
LK_1112035,3005
LK_1112040,3022
LK_1112045,2723
LK_1112050,1256
LK_1112055,3142
LK_1112060,2406
LK_1112065,1755
LK_1112070,6703
LK_1112075,3060
LK_1112080,4725
LK_1112085,4165
LK_1112090,2105
LK_1112095,1403
LK_1112100,3070
LK_1112105,1400
LK_1112110,3064
LK_1112115,1800
