region_id,total_housing_units,1_room,2_rooms,3_rooms,4_rooms,5_rooms,6_rooms,7_rooms,8_rooms,9_rooms,10_and_above
LK_1103175,1343,324,237,398,257,81,32,9,3,1,1
LK_1103095,2647,667,538,892,366,127,36,10,5,1,5
LK_1103170,470,46,18,50,101,104,76,25,20,13,17
LK_1103085,1442,295,251,396,406,60,24,4,5,1,0
LK_1103130,715,146,144,185,133,61,23,9,5,3,6
LK_1103155,1894,131,152,658,701,201,35,13,2,0,1
LK_1103135,1358,283,276,395,254,87,34,13,6,3,7
LK_1103150,1709,379,313,391,482,91,31,7,8,5,2
LK_1103080,1659,271,248,372,464,185,62,25,13,5,14
LK_1103040,3199,791,521,698,753,290,66,39,21,6,14
LK_1103025,1866,299,319,646,348,137,66,23,13,4,11
LK_1103045,1567,185,160,226,481,268,111,55,36,17,28
LK_1103020,2821,786,724,880,287,94,30,6,8,2,4
LK_1103060,1666,389,337,325,326,181,68,18,11,5,6
LK_1103090,2266,352,330,765,510,179,88,21,9,4,8
LK_1103065,1532,315,212,323,375,190,67,23,11,3,13
LK_1103105,1275,269,198,310,332,97,41,13,5,2,8
LK_1103100,1676,398,211,483,366,129,40,24,9,7,9
LK_1103005,1687,259,347,605,326,113,25,5,3,3,1
LK_1103140,783,165,136,237,177,41,13,3,3,1,7
LK_1103165,910,284,229,162,134,51,23,10,9,4,4
LK_1103145,1387,381,270,424,159,71,46,20,8,3,5
LK_1103160,1501,322,136,300,431,172,70,31,15,11,13
LK_1103120,130,18,2,2,77,8,13,8,1,0,1
LK_1103125,723,126,183,187,126,46,28,16,8,3,0
LK_1103050,2113,359,337,522,479,221,109,44,20,9,13
LK_1103055,1858,477,239,581,367,104,57,15,8,5,5
LK_1103075,3699,876,658,1050,649,263,118,45,19,11,10
LK_1103070,2501,349,416,906,560,166,67,13,14,3,7
LK_1103110,1442,277,214,481,360,68,27,7,5,3,0
LK_1103115,34,13,2,1,7,3,4,1,1,1,1
LK_1103030,3164,261,354,819,1064,450,142,41,17,11,5
LK_1103015,3874,415,544,1113,1035,436,187,73,30,22,19
LK_1103035,2777,580,383,815,524,227,124,68,29,12,15
LK_1103010,6143,635,654,1575,1614,962,375,173,85,39,31
LK_1106090,785,53,73,163,208,164,69,25,19,7,4
LK_1106130,727,54,62,147,250,113,57,28,7,3,6
LK_1106095,921,49,47,160,319,209,71,27,22,9,8
LK_1106210,746,25,27,106,278,197,71,22,14,3,3
LK_1106195,637,38,30,89,163,136,83,39,20,16,23
LK_1106155,647,55,60,118,175,137,60,22,13,3,4
LK_1106190,498,38,22,59,110,119,86,33,16,7,8
LK_1106115,1328,120,189,359,379,157,71,31,13,4,5
LK_1106030,1218,332,241,338,179,73,40,6,6,0,3
LK_1106215,633,88,34,99,163,142,68,25,8,3,3
LK_1106005,1750,249,352,546,449,107,24,8,8,2,5
LK_1106035,1874,275,400,519,379,176,65,15,27,5,13
LK_1106230,873,58,41,96,192,237,143,57,25,12,12
LK_1106055,861,58,72,200,261,154,64,23,12,10,7
LK_1106175,981,38,67,120,254,259,136,47,33,14,13
LK_1106050,1749,155,165,345,619,291,109,28,21,6,10
LK_1106170,634,42,35,65,174,188,67,33,15,7,8
LK_1106010,1567,449,339,470,189,74,30,9,4,1,2
LK_1106075,1049,76,83,162,324,213,109,40,18,16,8
LK_1106015,535,33,30,133,168,98,51,9,8,4,1
LK_1106070,668,48,18,113,227,168,61,21,4,2,6
LK_1106150,1254,55,62,170,287,297,212,83,46,17,25
LK_1106080,831,56,59,158,240,163,89,37,13,7,9
LK_1106085,886,31,42,138,261,186,112,67,27,13,9
LK_1106060,1183,81,70,183,334,264,139,61,36,12,3
LK_1106180,872,50,68,112,216,228,107,53,25,5,8
LK_1106185,799,80,109,160,172,136,88,24,20,7,3
LK_1106025,473,96,124,130,82,32,6,1,0,1,1
LK_1106100,479,23,11,62,152,107,67,29,13,6,9
LK_1106065,951,57,55,162,324,208,82,26,23,7,7
LK_1106105,764,155,92,234,204,61,15,2,0,1,0
LK_1106200,612,34,26,106,126,132,113,39,23,9,4
LK_1106225,533,37,26,78,132,106,72,42,19,17,4
LK_1106135,1088,91,42,121,304,241,164,76,29,13,7
LK_1106205,1207,41,149,339,344,155,94,53,14,11,7
LK_1106220,895,89,48,132,232,207,101,41,22,13,10
LK_1106165,1502,58,61,193,552,347,178,62,38,8,5
LK_1106045,1237,88,98,240,405,213,106,48,24,11,4
LK_1106160,518,42,40,76,127,130,49,29,13,5,7
LK_1106040,1062,155,85,172,334,201,73,20,12,8,2
LK_1106120,947,171,177,236,154,90,53,50,12,3,1
LK_1106145,1209,111,84,203,296,242,148,63,28,15,19
LK_1106125,2143,137,232,648,716,257,96,24,17,6,10
LK_1106140,776,40,41,133,189,176,91,48,27,17,14
LK_1106020,1226,142,216,280,290,166,64,41,14,6,7
LK_1106110,535,32,16,70,149,140,75,32,10,5,6
LK_1109240,633,12,10,130,257,152,51,14,4,1,2
LK_1109085,694,46,39,72,249,187,70,23,6,1,1
LK_1109245,588,35,41,86,145,129,80,32,19,9,12
LK_1109080,2359,152,127,291,690,665,285,95,29,9,16
LK_1109020,1060,113,68,147,263,232,122,66,29,10,10
LK_1109005,1257,98,83,150,369,293,163,64,22,7,8
LK_1109260,497,43,5,39,75,110,87,74,37,13,14
LK_1109265,1175,60,34,66,207,314,201,139,61,56,37
LK_1109165,788,85,45,124,174,208,67,39,23,12,11
LK_1109040,1349,139,94,200,419,321,115,35,18,5,3
LK_1109225,1459,170,73,162,345,392,168,85,42,15,7
LK_1109075,1108,70,84,178,310,298,102,36,17,9,4
LK_1109045,1244,129,76,140,387,347,105,33,19,2,6
LK_1109205,1505,56,81,160,327,437,257,125,38,12,12
LK_1109185,1917,150,144,298,509,391,216,117,56,21,15
LK_1109070,1889,122,60,157,392,559,308,141,80,38,32
LK_1109200,1219,66,45,101,379,332,205,54,28,3,6
LK_1109180,561,23,15,62,122,149,96,51,28,8,7
LK_1109285,951,55,40,104,235,280,129,64,24,8,12
LK_1109105,491,25,40,88,158,120,37,10,3,1,9
LK_1109125,1570,87,60,144,365,424,259,120,65,28,18
LK_1109015,1085,117,73,110,317,281,117,40,14,7,9
LK_1109100,549,30,34,50,171,182,60,20,1,1,0
LK_1109060,1413,90,67,151,443,382,136,79,33,19,13
LK_1109095,1197,203,79,142,373,242,90,37,25,0,6
LK_1109140,695,21,31,76,179,207,96,46,24,10,5
LK_1109065,811,36,58,115,225,223,91,38,12,8,5
LK_1109220,1306,82,71,147,336,335,178,91,39,16,11
LK_1109235,1389,54,53,119,260,402,231,139,68,32,31
LK_1109145,1759,134,88,186,405,432,231,144,72,34,33
LK_1109025,1079,91,73,144,258,259,145,52,32,11,14
LK_1109120,1350,79,40,138,446,381,172,57,22,10,5
LK_1109250,820,39,31,80,174,189,152,76,38,19,22
LK_1109255,458,31,7,33,61,138,97,50,27,8,6
LK_1109010,995,67,70,105,299,241,115,55,27,8,8
LK_1109275,1169,72,86,220,291,247,124,67,33,18,11
LK_1109270,810,51,27,68,165,203,138,79,42,21,16
LK_1109055,1495,117,66,160,325,413,217,92,52,29,24
LK_1109170,595,41,20,65,151,129,82,58,23,13,13
LK_1109050,529,27,36,61,165,148,60,22,7,1,2
LK_1109230,668,43,31,82,197,164,77,42,14,10,8
LK_1109175,674,25,19,43,118,183,125,92,44,11,14
LK_1109195,1562,160,80,190,370,432,188,76,35,17,14
LK_1109215,808,29,39,92,219,275,102,34,10,3,5
LK_1109190,1921,117,73,168,343,514,327,182,106,50,41
LK_1109210,786,32,35,59,186,251,143,49,16,8,7
LK_1109115,1940,50,64,164,484,745,309,87,22,9,6
LK_1109035,998,96,53,164,250,230,117,47,20,9,12
LK_1109110,686,30,55,82,196,202,89,21,9,0,2
LK_1109030,1066,50,34,101,323,351,132,44,17,9,5
LK_1109150,2392,167,133,252,461,595,352,202,111,78,41
LK_1109090,490,63,32,41,124,143,53,23,9,1,1
LK_1109135,950,49,39,69,183,271,167,104,40,16,12
LK_1109155,2174,84,54,211,533,649,337,161,81,47,17
LK_1109130,1266,67,41,126,311,296,214,111,52,23,25
LK_1109160,1130,64,34,109,240,297,211,91,45,23,16
LK_1109280,1462,72,68,193,446,404,168,56,26,14,15
LK_1112280,548,19,32,72,158,168,71,21,5,0,2
LK_1112115,466,12,29,65,85,101,91,55,14,6,8
LK_1112265,847,130,54,87,181,213,98,49,22,10,3
LK_1112040,720,23,40,73,193,228,91,46,17,5,4
LK_1112060,628,41,22,71,157,187,97,32,15,4,2
LK_1112085,1085,59,42,111,292,328,156,57,24,10,6
LK_1112030,427,12,42,60,115,124,48,13,6,3,4
LK_1112090,544,26,18,47,144,177,64,34,13,9,12
LK_1112110,779,28,32,71,198,272,106,47,16,6,3
LK_1112150,828,63,51,95,182,243,107,46,28,7,6
LK_1112345,728,53,42,70,206,222,90,30,9,5,1
LK_1112220,635,26,17,55,132,153,127,57,24,24,20
LK_1112290,1011,33,55,101,221,342,188,47,16,4,4
LK_1112235,596,22,12,21,365,136,29,8,1,0,2
LK_1112340,833,43,72,118,283,221,73,15,4,2,2
LK_1112170,1190,73,46,135,349,352,163,48,15,7,2
LK_1112225,649,25,18,63,149,212,117,38,19,4,4
LK_1112015,369,30,16,36,78,105,67,22,8,2,5
LK_1112380,330,13,14,24,54,101,66,23,22,6,7
LK_1112130,912,79,37,68,141,187,150,125,60,38,27
LK_1112240,896,78,50,147,222,227,101,39,18,7,7
LK_1112385,534,31,27,26,120,149,91,48,18,12,12
LK_1112010,405,61,36,73,72,84,52,16,8,2,1
LK_1112285,770,34,40,53,189,266,136,29,14,3,6
LK_1112095,373,28,25,43,70,95,70,28,6,5,3
LK_1112300,507,26,41,63,153,122,65,28,8,1,0
LK_1112325,542,24,36,65,121,158,68,38,20,6,6
LK_1112305,831,34,41,87,187,277,127,50,19,6,3
LK_1112295,396,15,27,21,129,135,46,16,5,1,1
LK_1112320,794,32,51,136,208,221,78,46,12,4,6
LK_1112200,1042,255,69,111,150,202,121,63,39,13,19
LK_1112155,1043,63,35,113,314,304,128,48,24,8,6
LK_1112075,754,49,41,85,210,204,104,41,15,3,2
LK_1112360,847,46,40,98,208,286,112,29,16,11,1
LK_1112260,1076,103,73,112,287,273,140,45,21,11,11
LK_1112205,1152,80,57,149,316,291,138,72,26,12,11
LK_1112365,700,39,78,103,231,179,42,20,5,2,1
LK_1112070,1725,110,97,249,421,422,242,88,63,23,10
LK_1112310,876,21,9,28,270,303,133,60,34,5,13
LK_1112190,1143,215,61,100,161,268,156,87,45,29,21
LK_1112135,654,78,21,65,119,156,99,47,35,15,19
LK_1112195,916,102,38,72,147,223,173,90,37,19,15
LK_1112245,1228,125,73,171,313,329,147,42,13,5,10
LK_1112395,251,21,10,38,64,82,28,5,2,0,1
LK_1112175,716,34,42,102,252,212,55,13,5,0,1
LK_1112390,522,13,26,50,132,150,95,36,12,3,5
LK_1112335,435,15,16,43,102,116,91,23,16,6,7
LK_1112080,1161,67,101,148,379,284,117,40,16,7,2
LK_1112020,487,40,34,59,80,138,78,34,17,3,4
LK_1112055,811,47,56,84,234,264,87,23,10,4,2
LK_1112350,542,31,48,66,163,141,63,21,6,2,1
LK_1112100,806,67,29,44,115,185,154,59,53,33,67
LK_1112230,1243,93,38,84,241,382,224,94,40,30,17
LK_1112105,143,0,1,11,89,40,2,0,0,0,0
LK_1112355,644,35,40,86,198,189,56,24,9,1,6
LK_1112125,843,97,85,114,226,190,80,26,11,7,7
LK_1112330,471,18,20,39,65,124,120,48,29,3,5
LK_1112315,1049,57,118,103,212,322,150,45,24,9,9
LK_1112120,870,69,49,131,166,199,131,74,26,9,16
LK_1112005,1937,141,109,195,639,527,182,95,37,5,7
LK_1112270,699,17,49,71,175,220,118,29,14,3,3
LK_1112255,655,52,36,53,132,159,135,48,24,10,6
LK_1112405,1273,68,108,200,412,360,86,24,7,6,2
LK_1112275,963,47,42,110,175,308,189,64,18,7,3
LK_1112035,758,48,52,120,210,219,79,21,8,0,1
LK_1112250,854,78,71,95,214,207,122,38,17,5,7
LK_1112370,518,39,41,66,130,135,69,21,10,6,1
LK_1112160,564,56,31,48,150,174,64,27,10,1,3
LK_1112145,739,28,40,80,158,226,120,57,20,4,6
LK_1112210,790,68,41,75,161,189,151,66,25,8,6
LK_1112165,1624,148,100,175,388,434,236,83,39,10,11
LK_1112375,753,62,31,105,169,211,100,46,19,8,2
LK_1112215,407,16,23,29,95,137,57,27,8,7,8
LK_1112140,586,44,54,80,150,124,65,38,16,10,5
LK_1112045,683,33,28,85,178,198,105,39,12,3,2
LK_1112400,643,56,33,70,211,197,54,19,3,0,0
LK_1112065,453,21,15,40,78,117,98,45,25,8,6
LK_1112180,861,26,32,105,190,284,138,48,24,9,5
LK_1112050,331,16,14,42,136,93,25,4,0,0,1
LK_1112185,648,43,24,65,189,193,77,33,12,5,7
LK_1112025,443,18,27,49,151,136,41,13,7,1,0
LK_1115015,294,23,27,43,45,70,59,25,1,1,0
LK_1115135,403,62,28,58,120,71,37,15,6,2,4
LK_1115010,496,26,16,48,80,157,109,40,12,4,4
LK_1115255,425,25,20,40,87,118,87,34,8,5,1
LK_1115130,480,74,32,60,118,109,47,16,8,9,7
LK_1115050,466,50,46,68,85,101,70,26,14,3,3
LK_1115035,376,30,13,36,125,118,37,10,2,0,5
LK_1115235,410,72,37,48,78,90,63,16,5,1,0
LK_1115030,793,125,103,198,145,115,59,23,10,9,6
LK_1115125,457,24,47,47,103,124,64,19,15,8,6
LK_1115100,624,23,16,67,165,166,110,42,18,10,7
LK_1115270,273,15,19,23,55,86,43,18,6,5,3
LK_1115210,369,21,18,28,62,115,78,32,11,3,1
LK_1115340,234,22,5,23,35,57,50,22,7,8,5
LK_1115065,429,24,31,46,126,114,64,15,4,3,2
LK_1115185,937,70,111,165,218,189,112,53,10,5,4
LK_1115180,507,23,38,59,161,149,54,19,3,0,1
LK_1115285,677,40,73,88,166,174,90,37,6,2,1
LK_1115040,197,49,17,16,37,50,21,6,1,0,0
LK_1115280,452,39,21,64,195,99,22,9,2,0,1
LK_1115205,684,44,39,86,113,163,147,51,24,11,6
LK_1115230,318,11,46,72,85,52,33,14,2,2,1
LK_1115140,437,42,37,43,96,67,70,38,14,17,13
LK_1115060,421,47,21,40,74,101,71,46,11,5,5
LK_1115120,540,40,44,67,113,136,78,37,14,5,6
LK_1115145,703,60,42,71,124,166,135,64,23,9,9
LK_1115335,513,17,34,42,104,186,86,29,6,4,5
LK_1115305,135,9,18,44,24,24,10,2,2,2,0
LK_1115025,539,37,29,54,166,152,69,23,4,4,1
LK_1115110,469,22,33,55,116,117,82,27,10,5,2
LK_1115300,164,7,16,12,30,58,31,6,3,0,1
LK_1115200,369,25,21,47,68,88,72,26,15,5,2
LK_1115005,449,13,22,58,98,139,74,29,7,6,3
LK_1115240,560,64,85,107,98,115,72,12,3,3,1
LK_1115265,454,26,31,44,101,149,81,19,1,1,1
LK_1115170,575,33,60,92,154,134,78,17,3,2,2
LK_1115245,297,9,17,33,99,91,41,5,2,0,0
LK_1115020,167,14,7,12,34,60,25,9,3,2,1
LK_1115260,175,6,8,9,31,57,46,14,2,2,0
LK_1115160,341,12,29,59,66,76,55,18,16,5,5
LK_1115250,401,27,20,34,136,118,46,17,2,0,1
LK_1115220,299,14,6,15,111,105,34,5,6,1,2
LK_1115165,483,63,42,81,127,104,33,13,11,5,4
