region_id,total_housing_units,1_room,2_rooms,3_rooms,4_rooms,5_rooms,6_rooms,7_rooms,8_rooms,9_rooms,10_and_above
LK_1115225,448,15,28,50,112,140,80,15,7,0,1
LK_1115055,644,153,49,59,133,125,65,37,10,6,7
LK_1115325,317,19,32,49,106,73,27,7,3,1,0
LK_1115275,438,18,21,44,82,148,79,32,8,3,3
LK_1115175,392,10,17,37,113,110,74,15,10,3,3
LK_1115115,351,14,45,37,54,96,71,21,6,3,4
LK_1115190,232,10,16,30,51,73,35,13,3,0,1
LK_1115085,324,11,9,25,93,85,78,14,5,2,2
LK_1115215,423,14,13,24,42,126,119,56,19,5,5
LK_1115320,197,8,15,16,24,66,47,11,6,3,1
LK_1115195,358,7,43,99,118,69,14,6,1,0,1
LK_1115290,213,9,31,41,69,47,12,2,0,0,2
LK_1115045,519,90,36,47,137,118,53,21,8,6,3
LK_1115105,504,22,31,60,226,117,32,10,4,0,2
LK_1115295,339,17,20,47,88,95,47,16,6,1,2
LK_1115155,324,21,37,49,75,67,46,15,10,1,3
LK_1115070,667,27,48,77,202,198,84,20,5,4,2
LK_1115150,869,63,133,188,246,161,55,16,4,3,0
LK_1115330,438,27,49,61,92,121,65,16,6,0,1
LK_1115075,384,17,21,37,55,115,102,28,9,0,0
LK_1115095,362,22,51,65,85,62,41,21,10,1,4
LK_1115315,194,10,21,34,46,46,27,9,1,0,0
LK_1115080,288,3,12,29,56,99,57,22,6,2,2
LK_1115090,295,20,15,33,63,87,49,22,4,2,0
LK_1115310,180,22,9,26,62,45,13,2,1,0,0
LK_1118145,370,18,24,37,150,100,30,10,1,0,0
LK_1118220,234,21,10,24,35,63,58,17,3,3,0
LK_1118020,465,33,41,67,135,112,56,12,5,3,1
LK_1118230,223,8,31,33,36,47,56,12,0,0,0
LK_1118140,298,41,8,16,55,81,56,21,9,3,8
LK_1118025,198,3,20,40,68,45,14,6,2,0,0
LK_1118215,376,15,15,36,120,120,44,18,3,3,2
LK_1118180,452,33,33,45,155,136,37,8,1,2,2
LK_1118185,195,4,10,13,23,69,39,23,10,3,1
LK_1118210,158,8,6,20,56,47,16,4,1,0,0
LK_1118100,595,55,31,73,146,163,85,28,8,4,2
LK_1118125,595,17,32,47,135,184,103,38,27,8,4
LK_1118105,305,11,22,25,104,98,38,6,1,0,0
LK_1118120,410,12,25,49,85,130,76,23,8,2,0
LK_1118160,525,23,56,75,194,134,35,7,1,0,0
LK_1118005,251,22,7,16,41,77,52,23,8,3,2
LK_1118165,397,14,22,45,144,131,31,8,2,0,0
LK_1118225,216,9,14,33,56,48,41,13,0,0,2
LK_1118195,433,24,16,39,83,130,86,33,16,2,4
LK_1118115,497,16,43,62,137,111,90,20,10,5,3
LK_1118045,208,34,15,38,77,27,11,0,2,3,1
LK_1118090,720,29,34,71,166,196,116,64,27,5,12
LK_1118110,546,36,34,56,81,157,111,35,21,9,6
LK_1118190,358,12,22,35,80,102,75,23,4,3,2
LK_1118035,482,22,21,51,119,142,80,35,9,2,1
LK_1118150,252,9,14,26,50,79,56,12,3,2,1
LK_1118095,400,32,15,41,95,110,61,23,15,3,5
LK_1118030,269,19,30,35,51,77,49,8,0,0,0
LK_1118155,361,16,28,40,160,91,16,7,2,1,0
LK_1118200,247,7,16,24,45,59,59,30,4,1,2
LK_1118060,163,17,9,17,25,42,34,15,2,2,0
LK_1118205,188,8,12,14,45,68,29,7,3,2,0
LK_1118070,341,10,14,38,98,109,47,15,6,3,1
LK_1118055,506,24,22,45,186,138,64,13,11,2,1
LK_1118130,277,13,18,27,65,64,56,18,6,3,7
LK_1118050,340,17,20,31,103,115,46,6,1,0,1
LK_1118170,507,18,41,76,155,150,43,11,10,3,0
LK_1118010,402,14,32,47,122,123,43,14,6,1,0
LK_1118175,338,20,42,57,93,86,27,7,4,2,0
LK_1118015,247,19,11,34,81,66,30,6,0,0,0
LK_1118135,334,21,29,30,86,75,46,22,12,5,8
LK_1118080,614,26,34,53,106,195,134,38,13,8,7
LK_1118065,393,29,11,44,121,113,46,15,8,3,3
LK_1118085,310,11,14,28,70,97,62,13,8,3,4
LK_1118075,723,80,57,99,164,149,103,37,19,6,9
LK_1118040,288,13,13,32,37,85,71,27,8,1,1
LK_1121080,1706,122,100,210,460,440,180,98,52,22,22
LK_1121065,1954,102,88,188,423,539,304,169,64,40,37
LK_1121085,1497,136,192,377,431,231,84,27,7,8,4
LK_1121075,1067,68,44,119,225,276,147,105,45,18,20
LK_1121010,1606,98,74,280,399,388,187,104,42,19,15
LK_1121145,867,113,41,80,174,191,129,65,33,16,25
LK_1121020,1362,77,68,155,349,304,184,102,65,28,30
LK_1121195,699,96,25,78,124,125,96,73,35,24,23
LK_1121165,1310,104,48,127,220,312,216,130,66,40,47
LK_1121025,1684,79,48,137,315,418,294,193,102,52,46
LK_1121180,981,60,30,133,205,267,134,83,35,16,18
LK_1121185,1864,163,56,195,351,424,288,178,94,59,56
LK_1121100,1669,143,92,238,352,362,230,120,59,36,37
LK_1121125,733,24,37,103,173,163,122,59,21,16,15
LK_1121105,953,85,73,126,229,184,127,75,28,9,17
LK_1121190,1243,132,85,182,278,265,143,71,48,22,17
LK_1121120,1057,107,69,143,197,227,154,87,41,18,14
LK_1121160,593,39,12,66,94,152,116,65,24,11,14
LK_1121005,1592,145,108,237,386,346,185,94,49,29,13
LK_1121060,647,29,48,82,133,126,96,59,29,21,24
LK_1121070,892,33,16,66,195,270,145,77,40,31,19
LK_1121090,1646,112,114,231,424,393,205,87,49,13,18
LK_1121095,1257,60,70,146,266,328,171,100,59,24,33
LK_1121045,335,12,17,49,95,100,46,9,7,0,0
LK_1121035,1469,88,62,149,358,405,196,113,48,36,14
LK_1121150,389,29,19,24,95,115,51,32,13,2,9
LK_1121030,1235,57,52,125,268,358,187,89,49,23,27
LK_1121155,1367,81,71,177,239,280,212,137,82,49,39
LK_1121040,1161,69,57,106,272,342,169,75,45,15,11
LK_1121200,1389,260,91,169,261,273,169,80,52,22,12
LK_1121015,1635,108,110,227,370,418,186,113,50,28,25
LK_1121205,1017,85,31,128,228,209,143,89,47,31,26
LK_1121135,731,37,40,84,181,215,96,44,19,7,8
LK_1121055,1117,51,65,146,327,299,126,47,27,13,16
LK_1121130,1870,154,129,256,472,433,219,87,52,34,34
LK_1121050,780,33,27,76,204,256,101,45,16,14,8
LK_1121170,1358,133,65,189,290,300,193,98,36,34,20
LK_1121115,1426,77,57,146,288,378,234,123,70,28,25
LK_1121175,1725,235,130,227,396,418,192,68,25,15,19
LK_1121110,612,49,28,64,122,146,98,57,17,10,21
LK_1121140,964,45,61,85,227,292,157,60,19,7,11
LK_1124025,1158,109,162,351,248,126,62,58,17,12,13
LK_1124065,1426,50,39,130,261,301,256,208,107,41,33
LK_1124030,1089,94,30,92,123,193,185,133,116,59,64
LK_1124100,844,46,45,102,159,192,143,63,51,20,23
LK_1124015,1705,154,108,276,368,328,227,110,69,32,33
LK_1124005,2812,560,315,644,819,271,126,45,16,5,11
LK_1124010,1482,117,103,297,377,256,151,93,42,21,25
LK_1124050,1067,79,36,67,184,238,188,118,69,46,42
LK_1124095,1895,162,91,199,344,461,279,150,97,55,57
LK_1124085,1465,97,87,157,296,329,218,141,78,29,33
LK_1124040,905,59,58,92,163,233,161,72,36,17,14
LK_1124090,1311,124,62,137,215,263,225,128,76,40,41
LK_1124055,944,43,35,98,196,224,139,91,63,29,26
LK_1124045,1567,114,63,257,326,302,217,132,73,37,46
LK_1124080,916,60,45,80,175,203,147,90,56,32,28
LK_1124035,1508,184,64,140,236,305,234,162,101,44,38
LK_1124070,1454,77,51,119,227,278,256,199,96,70,81
LK_1124020,762,65,49,42,113,108,125,99,78,43,40
LK_1124060,1401,53,53,160,233,300,250,149,74,62,67
LK_1124075,1433,58,37,153,309,298,240,159,95,37,47
LK_1127055,2663,173,158,534,1087,415,135,87,37,19,18
LK_1127040,3144,266,204,703,1144,428,221,91,44,19,24
LK_1127005,1457,312,172,261,230,157,115,84,46,29,51
LK_1127050,1460,141,119,255,345,232,129,106,51,48,34
LK_1127025,2023,228,195,509,439,294,170,73,52,32,31
LK_1127090,2829,184,121,392,741,721,296,220,88,32,34
LK_1127100,2882,202,280,549,633,528,306,187,94,44,59
LK_1127095,3314,133,156,424,1044,887,303,155,93,50,69
LK_1127045,1201,73,80,165,224,170,174,131,86,38,60
LK_1127010,1831,84,28,95,230,418,325,255,141,97,158
LK_1127035,3840,498,522,1382,883,276,145,70,29,17,18
LK_1127085,3802,301,225,606,1010,874,385,175,104,61,61
LK_1127015,1710,230,107,108,145,186,210,204,190,142,188
LK_1127080,4302,600,449,978,928,553,344,241,111,50,48
LK_1127030,3994,559,462,1024,1247,412,164,66,28,15,17
LK_1127060,2612,187,199,375,533,473,299,216,151,89,90
LK_1127020,1293,201,197,306,238,159,94,40,24,24,10
LK_1127070,1982,48,37,150,446,600,284,189,109,52,67
LK_1127065,1628,89,33,83,267,450,263,177,115,67,84
LK_1127075,4796,549,374,907,1567,543,304,234,124,75,119
LK_1130015,1233,42,20,104,202,279,218,148,107,62,51
LK_1130030,1560,116,65,221,441,358,188,84,47,18,22
LK_1130010,1480,148,100,261,363,236,171,91,55,25,30
LK_1130005,1521,153,124,252,394,301,150,69,34,23,21
LK_1130065,1111,136,51,165,250,250,127,81,28,15,8
LK_1130075,2100,151,142,306,482,522,259,141,57,21,19
LK_1130050,1420,171,109,284,383,271,117,49,24,5,7
LK_1130060,918,49,52,112,218,255,126,56,21,12,17
LK_1130035,1345,69,55,176,302,346,216,102,35,22,22
LK_1130070,1362,105,35,177,386,377,177,59,24,12,10
LK_1130020,1457,91,56,151,329,385,230,126,36,32,21
LK_1130055,2388,223,126,329,570,571,302,141,65,29,32
LK_1130045,1636,153,88,234,488,316,186,85,49,11,26
LK_1130025,1373,86,44,129,313,318,246,123,60,22,32
LK_1130040,1448,60,32,98,397,412,207,88,53,22,79
LK_1131030,2270,370,183,369,492,448,232,83,50,29,14
LK_1131055,1388,184,200,318,365,225,62,22,7,3,2
LK_1131035,2018,189,81,250,496,398,229,145,80,54,96
LK_1131050,1560,177,122,226,350,335,168,90,46,20,26
LK_1131005,2182,340,144,302,427,415,211,141,78,48,76
LK_1131010,1659,123,95,316,409,348,179,100,42,23,24
LK_1131015,1577,92,47,230,433,392,210,94,33,22,24
LK_1131020,1327,74,69,172,316,320,191,81,64,23,17
LK_1131040,1340,93,57,149,269,330,205,113,61,21,42
LK_1131065,2257,336,211,327,468,353,249,153,86,34,40
LK_1131045,1999,195,207,405,485,363,178,91,29,24,22
LK_1131025,3009,277,289,488,966,395,288,146,84,35,41
LK_1131060,1671,283,54,340,642,203,77,41,15,10,6
LK_1133140,887,80,98,249,234,134,47,30,13,1,1
LK_1133160,573,20,23,76,129,134,99,43,29,12,8
LK_1133135,958,96,66,205,325,166,59,20,14,5,2
LK_1133010,1216,106,45,144,311,309,166,64,35,22,14
LK_1133075,1034,135,72,138,251,193,109,62,37,16,21
LK_1133015,930,70,18,130,594,64,28,12,9,2,3
LK_1133070,510,24,22,70,173,126,63,20,7,3,2
LK_1133115,696,36,20,74,136,156,120,72,44,18,20
LK_1133030,1508,351,100,237,323,291,105,59,21,12,9
LK_1133150,1151,88,132,326,351,166,56,18,8,5,1
LK_1133110,898,26,68,139,221,202,115,74,31,13,9
LK_1133035,1460,196,101,212,356,285,171,75,34,15,15
LK_1133195,1096,142,133,251,289,161,71,24,10,10,5
LK_1133200,1129,131,99,283,381,149,48,18,10,4,6
LK_1133205,693,55,48,116,264,138,43,15,10,3,1
LK_1133190,888,100,41,247,199,150,87,34,16,9,5
LK_1133055,810,100,115,301,162,95,26,6,4,0,1
LK_1133175,553,18,30,126,139,123,52,33,17,9,6
LK_1133050,772,106,56,149,226,153,59,12,6,1,4
LK_1133170,1366,138,87,366,384,222,91,35,20,11,12
LK_1133090,2415,319,170,346,551,530,247,139,53,30,30
LK_1133095,1569,237,112,292,445,254,110,63,25,19,12
LK_1133120,505,77,61,93,119,88,37,16,10,1,3
LK_1133145,889,45,82,212,289,159,68,19,5,4,6
LK_1133125,1134,80,87,228,262,200,152,57,29,12,27
LK_1133005,1014,123,95,372,233,121,46,20,3,1,0
LK_1133025,714,75,27,64,181,179,85,55,25,15,8
LK_1133100,797,84,89,171,216,140,54,27,7,6,3
