Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
Maligawatta EastKhettarama||11,52413,683|1,1121,505|1,0541,571|1,1021,447|1,1311,241|1,0241,081|813912|7921,058|717850|735881|751826|774777|559546|380442|239255|177128|9096|4138|2117|48|84
Aluthkade EastAluthkade West||10,0537,517|956685|991665|941695|934686|795625|624564|742598|662464|662491|645486|596423|525417|402300|282187|13896|8276|4538|197|68|66
Kochchikade SouthPettah||7,7461,924|6177|6396|6008|731184|701403|617347|603197|504126|552140|541150|476136|38393|30771|22230|12215|746|351|160|13|51
FortGalle Face||1,4733,789|24315|37341|35315|72286|365285|412302|127314|85285|76251|88210|73206|35216|12205|8130|455|1328|328|210|12|15
Slave IslandHunupitiya||3,7956,883|268559|306587|320581|315632|313579|284515|280513|230443|253458|261460|257470|223383|178285|127176|7092|4571|3539|1716|54|820
SuduwellaKeselwatta||3,9157,221|291621|335658|324660|324598|294587|242553|327527|265509|245533|259491|226449|208341|171285|143197|8892|7664|5042|257|93|134
PanchikawattaMaligawatta West||8,4678,968|783708|779780|737779|658724|655662|589581|682683|590588|605627|538595|540501|428491|337448|239367|156197|73115|5068|1633|910|311
MaligakandaMaradana||8,5264,591|712318|821368|799362|774386|759358|686343|633342|551332|558368|536334|505311|396214|322222|194148|12290|7355|4722|109|93|196
IbbanwalaWekanda||2,6176,839|95566|109579|114596|104563|653515|250501|170514|151449|146478|141421|152438|124412|125313|92232|73127|5873|3836|1413|65|28
KolonnawaWadulla|509D|191,6877,606|15,762735|16,438706|15,221647|15,286686|14,461633|14,198676|15,576678|14,358582|14,030525|12,846465|11,738389|9,688279|8,384276|5,721157|3,50184|2,31849|1,26419|55112|1905|1563
SedawattaHalmulla|509A509C|6,9342,308|607195|660217|554192|638184|604147|610156|626225|500200|517158|435129|392123|299107|188129|12661|8630|3929|3016|92|53|95
KotuvilaVeheragoda|509509B|5,0832,119|429200|476210|396184|389189|388175|368165|421194|411155|394133|323128|299115|25091|20588|14538|8129|6013|247|120|53|72
OrugodawattaMeethotamulla|510A510|5,9008,432|509725|534749|527732|568689|562675|490657|497655|395628|404622|378518|314497|243410|184336|118248|75130|5781|2138|728|110|164
WelewattaKittampahuwa|508A508|4,6715,761|469555|461545|411497|355502|370421|370363|426455|388430|343397|255371|218343|187268|167225|126183|6697|3760|1226|613|22|28
WennawattaMaha Buthgamuwa B|507506C|7,6113,703|750309|700332|668331|615322|535265|513273|630274|539289|524246|499277|448228|407178|303128|20496|11272|8036|4332|207|91|127
Kuda ButhgamuwaKelanimulla|506A504|4,6494,040|355315|388362|346289|300319|329292|344260|358339|377363|326315|319268|305249|264182|246176|147125|10784|6556|3924|2517|32|63
AmbathaleMulleriyawa North|501A501|2,7674,439|200339|192339|198308|218359|244366|238350|236381|182332|197346|191300|179277|156234|120201|86122|5670|3743|1946|1415|47|04
BelagamaKotikawatta East|504A505|3,2833,535|244255|240281|245277|225228|231221|231234|279303|260265|244274|222220|225251|180204|156177|135135|6592|4858|3639|915|34|52
Maha Buthgamuwa AMaha Buthgamuwa C|506506D|3,3494,103|262372|251353|251334|229351|265302|246328|266295|242285|207311|232254|243243|181209|187183|128126|5272|5245|3526|1313|61|10
WellampitiyaKuruniyawatta|511510B|2,2443,603|186312|194374|185310|180337|182275|160275|163305|140268|154283|141232|137182|122167|107114|8464|4048|3229|2416|910|22|20
KolonnawaDahampura|512511A|2,3425,867|169509|176558|183546|207540|183432|155405|151418|149412|156415|172413|140380|144262|148223|85141|5298|3866|1725|1210|28|36
SinghapuraMegoda Kolonnawa|512B513A|4,07810,149|2841,131|3511,080|369924|357836|335789|262729|361823|300721|308673|280615|269518|183430|169368|111225|59139|3879|2647|714|46|52
BopettaBatalandahena|513D506B|3,2214,715|262406|320416|266406|232377|263340|226299|252344|220353|235360|210313|199280|187259|125216|90139|5393|4575|2626|57|24|32
Kotikawatta WestMulleriyawa South|505C503A|2,9464,935|201332|234390|208363|215368|191361|228408|241405|216384|235366|219356|179286|162280|143226|120179|63123|4563|3027|139|25|14
MalgamaUdumulla North|503C502|5,0962,643|372221|387206|389203|385230|363183|327186|452224|418197|409207|353191|316181|276118|233106|15780|11944|7037|4116|239|42|22
MaligagodellaRajasinghagama|502B502C|2,0836,442|158464|173516|176461|154445|158354|140429|154499|176515|177563|131508|119447|104349|106365|70237|31149|3672|1239|518|38|04
Udumulla SouthHimbutana East|502A503B|2,4083,879|156302|189305|173277|176296|172273|160292|182309|185300|194306|195262|165242|139211|115209|77111|5385|4653|1824|817|44|11
Himbutana WestMalpura|503505A|3,3444,044|253232|261254|229218|241271|219310|245321|260371|277314|251330|239376|216305|200242|161192|127115|7893|4352|3125|711|48|24
Gothatuwa New TownKajugahawatta|505B513C|1,9442,567|133149|123169|124167|130184|137193|168210|160186|150185|149162|132184|129187|124161|106143|67112|4866|2652|2637|914|35|01
Gothatuwa Salamulla|513512A|2,5805,213|203433|218478|198433|193418|179415|193329|190385|215390|178379|140359|175322|127268|135213|93167|64102|5259|1736|816|28|03
WijayapuraGajabapura|512D512C|3,1732,533|274173|242207|237194|267231|238175|229151|215193|202169|202170|180165|217184|176145|171155|11997|9344|5544|2922|1311|52|91
MadinnagodaElhena|513B513E|3,7612,181|250137|245159|257122|259151|320179|343200|342181|267175|302147|272127|240147|164129|174111|139101|8640|5932|1930|187|45|11
DodamgahahenaKaduwela|505D|3,403252,041|23517,855|21718,277|21617,063|24018,004|21719,313|25619,917|27221,259|23719,843|23618,915|29716,857|23815,765|23013,737|17512,471|1089,155|785,707|753,872|462,275|241,101|6430|0225
WelivitaRaggahawatta|475474A|4,9974,030|398303|419311|348280|362340|367340|395319|404337|384302|380302|360262|279245|241186|244187|183140|8267|7052|3634|2712|103|88
HewagamaKaduwela|474473A|4,1654,342|310279|316331|279306|297317|324354|355387|377385|328312|305338|299315|248261|232197|181207|118149|7085|6359|3130|2323|56|41
Pahala Bomiriya Ihala Bomiriya|472A471|4,2244,261|313344|312354|307305|299336|337296|333287|375376|288332|295319|304254|259261|226224|216209|139158|8384|5066|3936|2812|148|70
WekewattaNawagamuwa|471A470|3,8635,530|337457|297429|247359|267423|293529|306505|368533|292443|265344|230325|249274|222292|190245|118140|7788|5480|2838|1817|48|11
Pahala Bomiriya BWelihinda|472B488A|4,8782,099|413185|380187|338164|369150|326125|423150|444190|430204|352167|296145|267102|23293|209100|14866|9528|7126|468|195|102|102
KothalawalaMahadeniya|473475A|6,0915,495|372476|362444|359411|529387|711435|517386|444427|419458|426437|423368|390351|338254|297247|195161|130106|8276|5239|2514|168|410
Thalahena NorthMalabe North|478476B|3,1317,680|192483|227485|248416|239531|2481,026|240632|248532|236553|259540|247511|207503|161447|138385|102272|48157|49101|2461|926|59|410
ThunadahenaKorathota|488B488|4,4059,178|329708|346756|313687|338691|305697|317749|372793|391727|374678|337604|299561|202483|160397|120257|81155|68117|3256|1540|414|28
Nawagamuwa SouthBatewela|470A480C|2,8711,913|228145|223122|186119|240160|292229|252174|265145|214133|227111|163133|136110|134108|11781|7961|5034|3530|1810|95|31|02
RanalaDedigamuwa|469480A|4,8422,105|358173|344163|288150|404125|617153|453168|424190|356153|306170|284118|261114|222112|197100|13587|8566|4932|3518|1611|62|20
EmbilladeniyaWelipillewa|480B480|1,8762,623|137229|155204|143196|139196|130146|137215|162228|149211|151196|125178|98146|98126|88106|68100|4962|3045|926|79|12|02
ShanthalokagamaPore|487A489|6,9225,133|602385|522400|449350|384337|400378|507388|674495|592400|498390|415325|404298|382265|383251|283179|183132|12374|8547|2525|913|21
Malabe EastMalabe West|476476A|5,9585,141|438358|410362|381347|422344|461394|478367|501487|504422|494392|417312|385321|291288|250268|194200|135130|8977|5640|3121|158|63
Thalangama North BThalahena South|477A478A|3,7772,793|229171|224206|216223|259196|318199|288187|268223|271247|262187|244192|248181|235179|227147|17996|13463|9454|4920|2013|66|63
MuttettugodaThalangama North A|477B477|6,7349,250|462555|470625|428601|428619|491677|586779|553763|538722|474637|438634|443648|396516|368507|295422|156224|107148|5898|2945|1220|210
WalpolaKalapaluwawa|491A491|8,5184,287|519254|567297|620299|640292|541296|566282|630345|649324|648347|632305|599310|524243|466257|378178|231100|15281|9643|3719|2012|33
KotuwegodaSubhoothipura|491B492|3,0872,568|222116|217127|190135|218169|225241|293297|267207|255164|238191|194187|161186|156148|146135|11399|7772|5642|2927|2419|64|02
UdumullaBattaramulla North|492C492B|2,4652,001|12584|13598|146126|162130|181159|187129|173153|172121|178152|186154|176142|151139|152145|123103|9056|5252|4035|2615|87|21
BatapothaPothuarawa|479E477C|7,5827,422|522578|587498|577504|553518|506519|652582|651640|585634|653522|502515|458458|412397|332361|238270|152184|105125|6169|2525|713|410
Hokandara NorthOruwala|494487|6,2384,501|456387|451378|445330|484253|474278|574350|558419|516442|459328|427273|369243|299225|288215|188146|12196|6364|3543|2126|65|40
AthurugiriyaThaldiyawala|490490B|5,7993,027|381224|386228|371190|404211|405185|481237|466259|446242|401244|396209|387177|394169|321144|231113|12978|8554|6032|3017|1210|134
BoralugodaHokandara East|489A494A|3,1495,113|243417|261451|248389|218362|211308|231339|278434|259461|260445|211358|182299|168243|135213|112156|56101|3569|2235|817|86|310
ArangalaEvarihena|494B495A|5,5122,607|379186|361211|360194|444182|445165|474182|502232|426206|438228|339183|331158|286116|272121|20597|11757|7139|4130|814|73|63
KumaragewattaJayawadanagama|479D479|5,0762,208|333144|348119|322126|329136|331146|389183|411182|454155|386129|326127|332161|336155|294171|192116|15176|7442|3828|208|82|22
AruppitiyaAsiri Uyana|479F479B|2,3543,057|170171|190209|155184|174202|166184|179250|211210|181233|183232|140229|147212|157178|113199|84138|3797|2869|1839|1610|46|15
Battaramulla South|492A|1,580|104|84|83|113|78|90|108|109|116|108|134|114|115|71|52|49|24|20|7|1
RajamalwattaPahalawela|492D479A|2,0144,442|88227|102276|136260|143308|158304|162310|149311|129331|150326|167306|159317|119305|105269|69225|70167|4592|4576|1026|44|42
WickramasinghapuraWellangiriya|479C495|3,1364,725|168343|197359|173354|200364|235349|234346|255395|242350|212369|188348|227326|188247|179187|168176|12689|6063|4629|2618|87|46
Hokandara SouthAthurugiriya South|494C490A|5,5483,718|381264|471283|438264|392275|363262|358280|509321|459287|497307|364225|339226|290196|245189|173149|11175|7559|4530|1819|115|92
HomagamaJalthara|449|237,9057,292|18,125646|17,950562|15,884515|17,177526|18,081556|19,008570|21,381723|19,382635|17,725552|15,430458|13,989409|12,246313|10,736303|8,031196|5,310145|3,70098|2,08447|1,00723|3867|2738
HenpitaAtigala West|451446A|1,4841,501|123121|115120|106105|10898|116128|128135|148130|125125|11389|8781|6567|6789|6274|5960|3138|1524|75|56|23|23
Atigala EastBatawala|446450|1,9211,771|155153|129156|132125|149105|160138|186116|170175|139154|120126|109107|9282|10984|9379|7449|4537|3041|1426|99|35|34
WalpitaNawalamulla|450A482D|1,6543,005|146282|152293|126178|114203|101200|135243|162322|156267|124243|105178|92136|74134|58103|4585|2260|1647|1616|15|46|54
MeegasmullaHabarakada North|482E481|3,0222,723|225236|247259|195219|252168|237173|237205|267253|246233|228192|192186|175149|152135|12594|9597|5541|4944|2825|1311|33|10
Mullegama NorthMullegama South|481D481A|1,2563,142|99261|102239|87218|78222|96198|97241|120269|100267|99254|87187|82191|56183|38131|46105|3365|1354|1435|414|43|15
Habarakada SouthPanagoda Town|481B482B|2,4061,755|181105|188132|165135|186132|156128|176112|216126|174137|185124|157139|155114|141111|10783|8367|6541|3935|1516|1010|44|34
HenawattaMeegoda North|482C447|6,7033,060|463248|563202|557238|535250|441231|487252|507283|580238|569230|467180|415153|318135|273129|201116|12774|9352|4626|3717|94|152
PanaluwaWatareka North|447B448B|4,7254,165|384338|389366|310262|318276|347298|392319|491387|471364|358304|297279|263251|208225|177170|128134|7274|5361|3233|1516|96|112
Meegoda SouthGodagama North|447A483|2,1051,403|15494|14993|13493|16987|15493|169136|178121|161100|171106|11485|12193|10694|8077|9952|6237|4926|238|104|23|01
Panagoda WestPanagoda East|482482A|3,0701,400|22275|212100|20366|20379|194318|234210|265216|259174|23698|22232|19615|1825|1560|1002|762|651|202|101|41|113
Habarakada WattaHomagama North|481C486|3,0641,800|17295|202125|196125|239122|247142|237139|248149|210168|237148|222117|206114|16981|14795|10775|10646|5434|3714|208|43|40
Homagama WestHomagama South|486B486F|3,2403,128|220260|258228|231209|231230|245198|243267|281313|243269|278214|229191|185192|145168|166163|10387|8258|6044|2018|1111|52|46
Galavilawatta NorthHomagama Town|486C486A|3,5252,873|213185|223205|170169|231189|304263|311283|301245|254276|267255|219185|200166|179119|183103|19382|11563|7841|4426|2616|112|30
Homagama EastPitipana Town|486D484B|2,2073,062|182182|141193|160189|133210|188324|174289|226239|190226|170218|146193|101172|103162|108159|77112|4773|3159|2141|819|02|10
Godagama SouthKurunduwatta|483A448C|3,1543,867|216306|228266|194267|217265|236256|246319|266319|237298|241297|231261|193257|198231|171187|111128|7494|4952|3037|719|48|50
GehenuwalaWatareka South|447C448|2,0356,457|151493|131467|121421|151578|188566|170506|170540|165539|147469|128408|128369|114323|95263|78170|33138|37109|1553|828|39|28
OvitigamaKandanawatta|448A484D|4,7012,771|440227|376246|300211|339167|363173|370200|460281|371209|359229|318190|261179|199132|17794|15998|9955|5339|3816|1215|27|53
KiriberiyakeleMawathgama|484F485|3,3322,472|261194|218200|226178|249182|215156|239170|280203|278218|235192|228173|217155|188151|174118|13070|9245|5829|2920|1110|34|14
KatuwanaGalavilawatta South|486E486G|4,2233,360|258218|256207|249180|323231|440260|396283|380304|296251|312231|250216|234208|223179|207194|152150|100109|7473|4439|1514|1110|33
NiyandagalaHiripitiya|499A499G|3,8454,467|262334|222319|188272|345344|573357|429376|365426|276375|202327|237282|189267|156231|157218|85121|6792|3361|2627|2023|97|48
MambulgodaKithulhena|500A591C|2,9831,581|22299|222102|18499|221135|233128|222108|270120|245111|234101|179112|173105|166106|13284|10764|6348|4924|2816|227|68|54
Siddamulla NorthSiddamulla South|591591B|2,4292,452|155176|153155|127156|186149|200157|210200|187207|153212|159158|182157|190161|157142|149144|75137|6267|3842|2914|1110|55|13
Mattegoda WestMattegoda Central 'A'|587587A|4,9311,894|333104|315107|306114|386125|402130|402145|377144|380119|341129|354119|335140|251145|253141|19491|11763|9541|5023|258|115|41
Mattegoda EastBrahmanagama|587C500|3,5944,655|240352|254313|273284|298399|296418|291400|322460|278354|272312|221311|203287|205224|172214|111142|6591|4940|2434|1413|65|02
DeepangodaMagammana West|590B590A|3,2782,502|280204|258220|252164|246176|213168|234198|317224|299231|260191|214146|198155|15095|122104|8087|6956|4340|2620|1312|24|27
Magammana EastUduwana|590485A|4,0393,192|303246|301221|275199|282238|308290|332300|377311|323256|290258|248157|225175|217147|192134|133121|9958|6551|4216|188|75|21
PrasannapuraPitipana North|484G484|2,6793,762|235296|224299|166281|180258|182251|187282|279333|227295|201278|155285|152235|147170|111168|87122|52102|4656|3229|1013|67|02
SuwapubudugamaPitipana South|484E484A|2,1272,888|190268|184256|147194|125195|129170|171224|215269|170255|162220|137198|107141|104136|90120|7391|5766|3742|1628|109|35|01
DolahenaDiyagama East|484C589|3,9811,529|364123|371118|258105|268116|27687|285128|418140|370105|299100|235114|205100|17282|15573|11948|7434|6223|3019|159|44|11
Diyagama WestKirigampamunuwa|589A588|1,9423,189|154236|148275|126207|132234|148198|146225|184255|143279|138262|132224|119171|102179|92137|64103|4185|3460|2329|713|54|413
Mattegoda Central 'B'Siyambalagoda North|587B592|2,9684,087|168291|158283|151291|221316|214295|264292|222322|168325|167320|203299|229254|231229|215205|138140|10389|5968|3741|816|610|61
KudamaduwaSangharama|591A591D|3,0872,129|262142|263158|216131|209149|185130|239157|307174|256177|224156|176153|210144|164118|147103|10095|5261|3339|2425|1015|62|40
Siyambalagoda South|592A|1,843|120|110|108|139|146|149|166|128|126|130|117|116|80|79|58|30|22|12|4|3
RilawalaKahathuduwa West|593A602B|1,6953,225|129271|116284|128234|125230|121210|148210|141280|124292|121254|107215|112178|95166|90124|6695|3273|2158|730|813|41|07
Kiriwattuduwa SouthKiriwattuduwa North|603A603|2,8502,091|238178|254164|201148|157142|187135|175169|256175|279152|242161|184133|156135|119116|11388|11878|6548|4733|3220|1511|64|61
Moonamale ‐ YakahaluwaKithulavila|603C603B|2,4973,189|193262|213253|174201|172210|173215|209239|223282|184270|171242|174207|160184|141192|113141|85113|4770|2846|1937|1214|45|26
Kahathuduwa NorthKahathuduwa East|602602C|2,6812,131|239172|226168|195154|164167|162174|219159|251227|256193|214152|157116|13696|141105|12790|7556|4838|4231|1722|78|11|42
Kahathuduwa SouthUndurugoda|602A600|3,0731,315|238108|22194|190105|22885|29891|271103|306102|233114|214104|17283|18977|13980|12049|9747|6429|4219|2715|156|43|51
WetharaAmbalangoda|593594|1,9772,044|121166|134166|141141|147134|118151|137156|140178|144153|153145|152142|138131|125102|10488|8876|5339|4532|2324|1015|35|10
HeraliyawalaPalagama|595599|9542,418|64206|75212|74163|61177|60164|56187|93195|80213|60180|60167|60129|46112|6198|4178|2552|1041|1327|412|53|62
WeniwelkolaSeethawaka|601|4,878113,807|3979,424|4239,074|3967,870|3618,512|3118,882|3529,586|40710,351|3828,628|4057,560|3476,548|2686,374|2405,578|2025,504|1364,054|1052,446|661,753|45895|18483|7168|10117
BollathawaKanampella West|433425A|1,7001,799|154151|139138|126118|96133|103108|125151|168146|156147|107118|82127|97101|7291|11178|6675|4050|2532|1626|115|33|31
Kanampella EastManakada|425429B|1,080598|8942|7153|7041|7630|7130|9240|9859|7137|5541|4930|7030|7336|6140|4938|3324|239|137|109|42|20
Eswatta NorthKiriwandala North|429431B|2,0483,356|158334|139271|139227|142271|127307|142351|160342|167232|141183|127158|111158|113149|121161|110115|6944|4729|2511|67|15|31
KudagamaWeralupitiya|432A432H|1,689815|13663|10945|8939|13880|203113|18999|19397|10443|9642|7829|8045|6837|8024|5925|2815|1412|125|70|21|41
SeethagamaAvissawella|432F432|2,3162,333|190161|154154|115154|194206|304324|288232|233190|150143|116141|84138|110118|101115|10896|7467|3529|3230|1715|76|32|112
UkwattaAgra Pedesa|432C432G|2,6492,001|184147|178101|14497|208211|330257|307249|271204|202134|147101|13287|12194|10383|12080|7563|5246|4020|2217|99|31|10
Eswatta SouthIhala Kosgama North|429C428|1,6312,664|130217|121206|109187|111182|99211|121222|139269|140192|108216|98153|104159|94100|79115|7199|4865|2541|2022|92|34|22
ThawalgodaMuruthagama|426426A|1,3851,076|12093|10996|9164|9167|10162|10176|12886|11891|10970|8163|7360|4946|7068|6345|2836|3134|128|56|35|20
AkaravitaKahatapitiya|434435|1,1951,152|12289|85101|8279|7186|7669|9499|118114|8395|7075|6468|7454|6263|6159|4444|3121|3121|1210|114|41|00
Kalu AggalaSalawa|436427A|1,4312,464|105173|98192|116198|96220|108202|122188|125191|97177|80203|77169|91143|71106|92113|8172|2853|2021|826|810|64|23
Pahala Kosgama WestPahala Kosgama East|427B427|1,9591,830|179143|187139|130123|115136|116140|151157|206158|149141|146131|126109|112103|108104|8674|5767|3051|3326|1519|107|11|21
Ihala Kosgama SouthMiriswatta|428B428C|1,3072,095|110179|100170|89144|89158|81152|105181|105201|107148|86155|72116|87130|7789|73101|5263|3144|2134|1115|811|21|13
Aluth AmbalamaKiriwandala South|428A431E|1,8372,138|149186|160156|163126|123192|135225|115227|157198|145184|135108|104115|109111|9678|95105|6551|3440|2819|138|87|12|20
KotaheraSeethawaka|432D432B|1,7251,877|129137|140132|121104|182135|159202|148193|142184|140122|106128|103106|73104|7589|8692|5256|3846|1827|1112|25|02|01
Aradhana KandaPuwakpitiya South|432E431C|2,9643,837|224336|219371|160313|266315|308283|293330|263374|206304|208252|146183|156199|148161|142176|100116|5564|4040|1514|103|42|11
PuwakpitiyaEgodagama|431431D|1,3071,301|103102|10588|9777|9996|10395|127106|120115|7891|7188|7282|9190|7260|6478|4053|1931|2221|917|98|32|31
Weragolla NorthHingurala|431A429A|1,8932,099|174181|188174|136148|138149|126142|145173|172200|146152|145168|132110|103109|8699|56101|5775|4253|2436|1318|78|32|01
Kadugoda NorthMawalgama|430437|1,4512,033|124154|107145|101141|105153|77145|108138|139165|100160|77124|98120|104137|79137|79111|5878|3846|4033|826|513|16|31
SuduwellaGira Imbula|436A435A|3,559928|32470|30679|27554|25261|24764|23689|32775|27375|32063|21661|17267|14531|16641|12444|7130|5714|265|121|72|32
WalawwattaPahala Hanwella|445A445|1,3391,492|87107|104127|82108|104130|105107|135118|108105|97123|86105|8587|97110|8285|6662|5441|2135|2024|29|35|13|01
Hanwella TownIhala Hanwella North|443B443|2,9891,510|218112|221130|200122|260109|272106|23694|259130|218120|186108|16799|19489|17165|15364|9673|6043|3622|2114|94|34|92
NiripolaBrandigampala|438440A|1,6811,173|12895|146104|14672|11678|9760|12681|111116|101120|12887|11266|10672|8364|8741|7350|6025|3019|1813|97|23|20
Kadugoda SouthWeragolla South|430A431F|1,7321,322|144125|143109|99107|11493|115105|171109|143144|116113|10285|10268|8470|12957|10950|6040|3127|3114|214|132|10|40
DiganaLahirugama|442F442D|1,4782,146|142205|139185|124177|99144|114141|128197|137216|112155|99129|73117|67108|7689|53113|6075|1744|2235|86|76|11|03
MambulaWelikanna|441442|1,1281,512|87138|95109|85103|8493|6795|6794|89136|92109|8585|8497|59101|5885|4998|3656|4138|1735|2121|715|54|00
KahahenaNeluwattuduwa|441A440|1,627666|13352|13252|11843|12841|9139|10346|11255|13441|12440|10836|8835|9849|8345|6727|4818|3121|1718|95|12|21
Diddeniya NorthIhala Hanwella South|439443C|1,7171,041|14881|14992|13578|10559|9869|13675|16792|14095|11861|9465|10264|7746|8155|7143|2827|3824|207|45|42|21
PahathgamaJayaweeragoda|443A443D|1,8571,717|152144|152141|122128|150120|138112|131144|149147|150157|124131|120101|10994|104103|8383|6857|4722|2920|69|182|22|30
Koodaluvila|444D|2,807|255|248|208|205|181|200|282|227|188|173|140|131|118|91|65|42|16|21|8|8
Thunnana EastDiddeniya South|444439A|8681,233|84106|7399|7181|6594|5598|7198|81107|7179|5865|48103|5183|5468|2665|2833|1125|817|65|44|22|11
ElamalawalaIlukovita|442B442C|606533|4149|6439|4235|3852|3643|3241|4243|4246|6640|4932|3631|2514|3228|2218|155|147|65|33|02|10
KoswattaPagngnagula|442E442A|708767|6368|6669|5360|5748|5152|6055|6372|5552|5041|4637|3640|2846|2554|2234|1017|1212|44|64|11|01
PelpolaKudakanda|442G444E|7441,289|63116|54124|4595|5779|4685|66118|69122|49105|3887|4689|4563|4751|4069|3637|1128|1812|56|82|00|11
Thunnana WestMawathagama West|444B444C|1,7131,976|148206|148176|156133|123123|114118|116141|164191|164171|114144|113119|9597|7889|6099|5057|2840|2628|1123|313|07|21
Mawathagama EastPadukka|444A|91465,267|655,084|585,179|554,577|714,628|674,343|874,925|675,674|745,134|564,722|474,175|583,746|603,435|503,166|362,457|211,621|191,157|10700|7339|2125|480
Pinnawala NorthPinnawala South|456456A|8451,518|65132|60127|5291|5274|4389|51117|76155|64141|5499|6180|5492|6188|5083|4249|2043|2032|1016|55|54|01
Waga NorthWaga East|457B457|8571,789|65151|60137|56133|74136|63116|80145|54150|63129|56118|65110|4685|53123|3991|3369|1934|1636|1313|28|03|02
ThummodaraWaga South|458A457C|794970|5771|6088|7164|6173|5860|6364|6769|4876|4970|5765|5766|4843|3949|2351|1329|1419|65|37|01|00
SiyambalawaPahala Bope|459B459A|1,8911,074|15885|16396|12668|14678|12367|16971|14096|13795|14376|12663|12660|8059|9246|5148|3825|4115|2215|510|31|20
HalpeWaga West|454B457A|7271,339|5399|57100|5573|60100|70108|49108|66128|47122|5486|4256|3865|3772|2985|3156|1941|1219|312|16|13|30
UggallaWewelpanawa|454453A|1,878707|13560|15648|12634|12851|12460|11877|18359|14655|13247|11740|9843|9934|8926|7822|6223|3814|328|162|11|03
Pitumpe NorthPitumpe South|453453B|1,4381,332|9198|126108|117118|97105|7869|9398|125113|11094|10993|9899|8894|9566|8067|4545|3525|2623|2011|45|11|00
Galagedara EastGalagedara North|452452A|2,7902,391|251190|229188|180170|201167|223155|224178|266222|227208|181210|166132|150109|157134|110109|94101|6452|3035|2319|76|23|53
Galagedara SouthPadukka|452B461|1,2472,939|95202|86198|93194|87218|78224|96243|85248|88225|98222|98197|78167|70167|55140|60110|2883|2855|1523|715|15|13
Arukwatta NorthArukwatta South|460460A|1,5202,168|134151|128172|109152|92144|103140|109155|140192|116169|105182|112139|90131|83111|71124|5087|3241|2035|1823|511|28|11
GanegodaAngampitiya|460B454A|1,1572,157|106149|98165|77154|75205|69175|101181|106182|91159|80146|67155|81103|6477|4495|3180|2666|1727|923|149|03|13
WeragalaAngamuwa|455461A|1,8141,593|137121|141157|128122|10899|12095|15195|141121|150143|130115|112103|11777|11278|8476|6569|4452|3541|1716|96|85|52
UdumullaPoregedara|461B462A|2,3401,071|17184|17885|17477|16779|16169|17377|18079|18383|17371|15075|16266|12249|9963|8745|5629|4617|3811|138|73|01
Pahala PadukkaLiyanwala|461C462|1,3291,175|9786|9394|8884|9582|9375|10665|11699|98105|10684|8981|8072|7353|7467|4647|3625|2222|1014|513|16|11
