Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
District, DS division and GN division|number|Total|0‐4|5‐9|10‐14|15‐19|20‐24|25‐29|30‐34|35‐39|40‐44|45‐49|50‐54|55‐59|60‐64|65‐69|70‐74|75‐79|80‐84|85‐89|90‐94|95 & above
Sri LnkaColombo||20,359,4392,324,349|1,743,862166,605|1,747,752172,893|1,640,052164,406|1,644,249175,847|1,532,883194,024|1,552,848186,683|1,639,415191,618|1,409,077171,166|1,359,209165,624|1,285,830151,942|1,219,460143,741|1,064,229123,856|917,910110,481|633,28981,671|412,41451,852|283,18635,359|159,37920,629|73,4419,868|24,2583,673|16,6962,411
ColomboSammanthranapura||323,2577,829|27,341803|28,344801|27,142745|27,655628|27,619612|25,039650|25,809698|21,753553|22,110501|20,961443|19,752469|15,902327|13,167262|8,963138|5,29785|3,27346|1,79638|72614|2682|34014
MattakkuliyaModara||28,00317,757|2,3921,547|2,5401,498|2,3341,377|2,4041,414|2,3161,617|2,0631,484|2,2471,459|1,9731,229|1,9491,188|1,7531,133|1,5871,031|1,333841|1,147779|797492|491293|343188|160115|7944|3920|568
MadampitiyaMahawatta||12,9708,809|1,367754|1,467775|1,216733|1,199762|995728|1,071678|1,113776|827581|888616|799582|687549|460404|370333|211222|154145|8468|4046|1229|311|717
AluthmawathaLunupokuna||13,62512,423|1,104833|1,120932|1,105893|1,1241,061|1,0691,175|1,0771,059|1,0641,103|938902|917906|934800|912828|734590|599477|422383|233210|135135|8378|3437|69|1512
BloemendhalKotahena East||13,8026,385|1,128348|1,175418|1,106419|1,172510|1,138461|1,016443|1,142433|934412|953441|929449|908440|703426|559407|414307|238221|148129|8267|2926|1119|179
Kotahena WestKochchikade North||9,4099,339|627580|623647|676603|743808|810852|800780|726817|641650|637685|671679|637615|558506|459423|325283|218188|140123|6062|4224|106|68
JinthupitiyaMasangasweediya||8,1108,516|537816|601722|642747|718716|656715|592669|608742|588577|588542|553538|555496|472400|373345|273229|159130|10776|5241|2513|42|70
New BazaarGrandpass South||13,43617,588|1,3181,625|1,3381,660|1,2141,513|1,1891,532|1,1211,435|9521,304|1,0551,473|8541,154|9281,255|7871,155|7931,025|640810|523640|336449|188263|93168|7278|1427|814|138
Grandpass NorthNawagampura||8,9046,821|821599|808593|820584|750582|688577|721545|658593|628511|595462|580443|506404|407297|384282|251163|14297|6854|4422|178|62|103
